id,number,stree,town
906,6,Penny Lane,Manchester
907,7,Penny Lane,Manchester
908,8,Penny Lane,Manchester
909,9,Penny Lane,Manchester
910,10,Penny Lane,Manchester
911,11,Penny Lane,Manchester
912,12,Penny Lane,Manchester
913,13,Penny Lane,Manchester
914,14,Penny Lane,Manchester
915,15,Penny Lane,Manchester
916,16,Penny Lane,Manchester
917,17,Penny Lane,Manchester
918,18,Penny Lane,Manchester
919,19,Penny Lane,Manchester
920,20,Penny Lane,Manchester
921,21,Penny Lane,Manchester
922,22,Penny Lane,Manchester
923,23,Penny Lane,Manchester
924,24,Penny Lane,Manchester
925,25,Penny Lane,Manchester
926,26,Penny Lane,Manchester
927,27,Penny Lane,Manchester
928,28,Penny Lane,Manchester
929,29,Penny Lane,Manchester
930,30,Penny Lane,Manchester
931,31,Penny Lane,Manchester
932,32,Penny Lane,Manchester
933,33,Penny Lane,Manchester
934,34,Penny Lane,Manchester
935,35,Penny Lane,Manchester
936,36,Penny Lane,Manchester
937,37,Penny Lane,Manchester
938,38,Penny Lane,Manchester
939,39,Penny Lane,Manchester
940,40,Penny Lane,Manchester
941,41,Penny Lane,Manchester
942,42,Penny Lane,Manchester
943,43,Penny Lane,Manchester
944,44,Penny Lane,Manchester
945,45,Penny Lane,Manchester
946,46,Penny Lane,Manchester
947,47,Penny Lane,Manchester
948,48,Penny Lane,Manchester
949,49,Penny Lane,Manchester
950,50,Penny Lane,Manchester
951,51,Penny Lane,Manchester
952,52,Penny Lane,Manchester
953,53,Penny Lane,Manchester
954,54,Penny Lane,Manchester
955,55,Penny Lane,Manchester
956,56,Penny Lane,Manchester
957,57,Penny Lane,Manchester
958,58,Penny Lane,Manchester
959,59,Penny Lane,Manchester
960,60,Penny Lane,Manchester
961,61,Penny Lane,Manchester
962,62,Penny Lane,Manchester
963,63,Penny Lane,Manchester
964,64,Penny Lane,Manchester
965,65,Penny Lane,Manchester
966,66,Penny Lane,Manchester
967,67,Penny Lane,Manchester
968,68,Penny Lane,Manchester
969,69,Penny Lane,Manchester
970,70,Penny Lane,Manchester
971,71,Penny Lane,Manchester
972,72,Penny Lane,Manchester
973,73,Penny Lane,Manchester
974,74,Penny Lane,Manchester
975,75,Penny Lane,Manchester
976,76,Penny Lane,Manchester
977,77,Penny Lane,Manchester
978,78,Penny Lane,Manchester
979,79,Penny Lane,Manchester
980,80,Penny Lane,Manchester
981,81,Penny Lane,Manchester
982,82,Penny Lane,Manchester
983,83,Penny Lane,Manchester
984,84,Penny Lane,Manchester
985,85,Penny Lane,Manchester
986,86,Penny Lane,Manchester
987,87,Penny Lane,Manchester
988,88,Penny Lane,Manchester
989,89,Penny Lane,Manchester
990,90,Penny Lane,Manchester
991,91,Penny Lane,Manchester
992,92,Penny Lane,Manchester
993,93,Penny Lane,Manchester
994,94,Penny Lane,Manchester
995,95,Penny Lane,Manchester
996,96,Penny Lane,Manchester
997,97,Penny Lane,Manchester
998,98,Penny Lane,Manchester
999,99,Penny Lane,Manchester
1000,100,Penny Lane,Manchester
1001,1,Forest Hill,London
1002,2,Forest Hill,London
1003,3,Forest Hill,London
1004,4,Forest Hill,London
1005,5,Forest Hill,London
1006,6,Forest Hill,London
1007,7,Forest Hill,London
1008,8,Forest Hill,London
1009,9,Forest Hill,London
1010,10,Forest Hill,London
1011,11,Forest Hill,London
1012,12,Forest Hill,London
1013,13,Forest Hill,London
1014,14,Forest Hill,London
1015,15,Forest Hill,London
1016,16,Forest Hill,London
1017,17,Forest Hill,London
1018,18,Forest Hill,London
1019,19,Forest Hill,London
1020,20,Forest Hill,London
1021,21,Forest Hill,London
1022,22,Forest Hill,London
1023,23,Forest Hill,London
1024,24,Forest Hill,London
1025,25,Forest Hill,London
1026,26,Forest Hill,London
1027,27,Forest Hill,London
1028,28,Forest Hill,London
1029,29,Forest Hill,London
1030,30,Forest Hill,London
1031,31,Forest Hill,London
1032,32,Forest Hill,London
1033,33,Forest Hill,London
1034,34,Forest Hill,London
1035,35,Forest Hill,London
1036,36,Forest Hill,London
1037,37,Forest Hill,London
1038,38,Forest Hill,London
1039,39,Forest Hill,London
1040,40,Forest Hill,London
1041,41,Forest Hill,London
1042,42,Forest Hill,London
1043,43,Forest Hill,London
1044,44,Forest Hill,London
1045,45,Forest Hill,London
1046,46,Forest Hill,London
1047,47,Forest Hill,London
1048,48,Forest Hill,London
1049,49,Forest Hill,London
1050,50,Forest Hill,London
1051,51,Forest Hill,London
1052,52,Forest Hill,London
1053,53,Forest Hill,London
1054,54,Forest Hill,London
1055,55,Forest Hill,London
1056,56,Forest Hill,London
1057,57,Forest Hill,London
1058,58,Forest Hill,London
1059,59,Forest Hill,London
1060,60,Forest Hill,London
1061,61,Forest Hill,London
1062,62,Forest Hill,London
1063,63,Forest Hill,London
1064,64,Forest Hill,London
1065,65,Forest Hill,London
1066,66,Forest Hill,London
1067,67,Forest Hill,London
1068,68,Forest Hill,London
1069,69,Forest Hill,London
1070,70,Forest Hill,London
1071,71,Forest Hill,London
1072,72,Forest Hill,London
1073,73,Forest Hill,London
1074,74,Forest Hill,London
1075,75,Forest Hill,London
1076,76,Forest Hill,London
1077,77,Forest Hill,London
1078,78,Forest Hill,London
1079,79,Forest Hill,London
1080,80,Forest Hill,London
1081,81,Forest Hill,London
1082,82,Forest Hill,London
1083,83,Forest Hill,London
1084,84,Forest Hill,London
1085,85,Forest Hill,London
1086,86,Forest Hill,London
1087,87,Forest Hill,London
1088,88,Forest Hill,London
1089,89,Forest Hill,London
1090,90,Forest Hill,London
1091,91,Forest Hill,London
1092,92,Forest Hill,London
1093,93,Forest Hill,London
1094,94,Forest Hill,London
1095,95,Forest Hill,London
1096,96,Forest Hill,London
1097,97,Forest Hill,London
1098,98,Forest Hill,London
1099,99,Forest Hill,London
1100,100,Forest Hill,London
1101,1,Forest Hill,Liverpool
1102,2,Forest Hill,Liverpool
1103,3,Forest Hill,Liverpool
1104,4,Forest Hill,Liverpool
1105,5,Forest Hill,Liverpool
1106,6,Forest Hill,Liverpool
1107,7,Forest Hill,Liverpool
1108,8,Forest Hill,Liverpool
1109,9,Forest Hill,Liverpool
1110,10,Forest Hill,Liverpool
1111,11,Forest Hill,Liverpool
1112,12,Forest Hill,Liverpool
1113,13,Forest Hill,Liverpool
1114,14,Forest Hill,Liverpool
1115,15,Forest Hill,Liverpool
1116,16,Forest Hill,Liverpool
1117,17,Forest Hill,Liverpool
1118,18,Forest Hill,Liverpool
1119,19,Forest Hill,Liverpool
1120,20,Forest Hill,Liverpool
1121,21,Forest Hill,Liverpool
1122,22,Forest Hill,Liverpool
1123,23,Forest Hill,Liverpool
1124,24,Forest Hill,Liverpool
1125,25,Forest Hill,Liverpool
1126,26,Forest Hill,Liverpool
1127,27,Forest Hill,Liverpool
1128,28,Forest Hill,Liverpool
1129,29,Forest Hill,Liverpool
1130,30,Forest Hill,Liverpool
1131,31,Forest Hill,Liverpool
1132,32,Forest Hill,Liverpool
1133,33,Forest Hill,Liverpool
1134,34,Forest Hill,Liverpool
1135,35,Forest Hill,Liverpool
1136,36,Forest Hill,Liverpool
1137,37,Forest Hill,Liverpool
1138,38,Forest Hill,Liverpool
1139,39,Forest Hill,Liverpool
1140,40,Forest Hill,Liverpool
1141,41,Forest Hill,Liverpool
1142,42,Forest Hill,Liverpool
1143,43,Forest Hill,Liverpool
1144,44,Forest Hill,Liverpool
1145,45,Forest Hill,Liverpool
1146,46,Forest Hill,Liverpool
1147,47,Forest Hill,Liverpool
1148,48,Forest Hill,Liverpool
1149,49,Forest Hill,Liverpool
1150,50,Forest Hill,Liverpool
1151,51,Forest Hill,Liverpool
1152,52,Forest Hill,Liverpool
1153,53,Forest Hill,Liverpool
1154,54,Forest Hill,Liverpool
1155,55,Forest Hill,Liverpool
1156,56,Forest Hill,Liverpool
1157,57,Forest Hill,Liverpool
1158,58,Forest Hill,Liverpool
1159,59,Forest Hill,Liverpool
1160,60,Forest Hill,Liverpool
1161,61,Forest Hill,Liverpool
1162,62,Forest Hill,Liverpool
1163,63,Forest Hill,Liverpool
1164,64,Forest Hill,Liverpool
1165,65,Forest Hill,Liverpool
1166,66,Forest Hill,Liverpool
1167,67,Forest Hill,Liverpool
1168,68,Forest Hill,Liverpool
1169,69,Forest Hill,Liverpool
1170,70,Forest Hill,Liverpool
1171,71,Forest Hill,Liverpool
1172,72,Forest Hill,Liverpool
1173,73,Forest Hill,Liverpool
1174,74,Forest Hill,Liverpool
1175,75,Forest Hill,Liverpool
1176,76,Forest Hill,Liverpool
1177,77,Forest Hill,Liverpool
1178,78,Forest Hill,Liverpool
1179,79,Forest Hill,Liverpool
1180,80,Forest Hill,Liverpool
1181,81,Forest Hill,Liverpool
1182,82,Forest Hill,Liverpool
1183,83,Forest Hill,Liverpool
1184,84,Forest Hill,Liverpool
1185,85,Forest Hill,Liverpool
1186,86,Forest Hill,Liverpool
1187,87,Forest Hill,Liverpool
1188,88,Forest Hill,Liverpool
1189,89,Forest Hill,Liverpool
1190,90,Forest Hill,Liverpool
1191,91,Forest Hill,Liverpool
1192,92,Forest Hill,Liverpool
1193,93,Forest Hill,Liverpool
1194,94,Forest Hill,Liverpool
1195,95,Forest Hill,Liverpool
1196,96,Forest Hill,Liverpool
1197,97,Forest Hill,Liverpool
1198,98,Forest Hill,Liverpool
1199,99,Forest Hill,Liverpool
1200,100,Forest Hill,Liverpool
1201,1,Forest Hill,York
1202,2,Forest Hill,York
1203,3,Forest Hill,York
1204,4,Forest Hill,York
1205,5,Forest Hill,York
1206,6,Forest Hill,York
1207,7,Forest Hill,York
1208,8,Forest Hill,York
1209,9,Forest Hill,York
1210,10,Forest Hill,York
1211,11,Forest Hill,York
1212,12,Forest Hill,York
1213,13,Forest Hill,York
1214,14,Forest Hill,York
1215,15,Forest Hill,York
1216,16,Forest Hill,York
1217,17,Forest Hill,York
1218,18,Forest Hill,York
1219,19,Forest Hill,York
1220,20,Forest Hill,York
1221,21,Forest Hill,York
1222,22,Forest Hill,York
1223,23,Forest Hill,York
1224,24,Forest Hill,York
1225,25,Forest Hill,York
1226,26,Forest Hill,York
1227,27,Forest Hill,York
1228,28,Forest Hill,York
1229,29,Forest Hill,York
1230,30,Forest Hill,York
1231,31,Forest Hill,York
1232,32,Forest Hill,York
1233,33,Forest Hill,York
1234,34,Forest Hill,York
1235,35,Forest Hill,York
1236,36,Forest Hill,York
1237,37,Forest Hill,York
1238,38,Forest Hill,York
1239,39,Forest Hill,York
1240,40,Forest Hill,York
1241,41,Forest Hill,York
1242,42,Forest Hill,York
1243,43,Forest Hill,York
1244,44,Forest Hill,York
1245,45,Forest Hill,York
1246,46,Forest Hill,York
1247,47,Forest Hill,York
1248,48,Forest Hill,York
1249,49,Forest Hill,York
1250,50,Forest Hill,York
1251,51,Forest Hill,York
1252,52,Forest Hill,York
1253,53,Forest Hill,York
1254,54,Forest Hill,York
1255,55,Forest Hill,York
1256,56,Forest Hill,York
1257,57,Forest Hill,York
1258,58,Forest Hill,York
1259,59,Forest Hill,York
1260,60,Forest Hill,York
1261,61,Forest Hill,York
1262,62,Forest Hill,York
1263,63,Forest Hill,York
1264,64,Forest Hill,York
1265,65,Forest Hill,York
1266,66,Forest Hill,York
1267,67,Forest Hill,York
1268,68,Forest Hill,York
1269,69,Forest Hill,York
1270,70,Forest Hill,York
1271,71,Forest Hill,York
1272,72,Forest Hill,York
1273,73,Forest Hill,York
1274,74,Forest Hill,York
1275,75,Forest Hill,York
1276,76,Forest Hill,York
1277,77,Forest Hill,York
1278,78,Forest Hill,York
1279,79,Forest Hill,York
1280,80,Forest Hill,York
1281,81,Forest Hill,York
1282,82,Forest Hill,York
1283,83,Forest Hill,York
1284,84,Forest Hill,York
1285,85,Forest Hill,York
1286,86,Forest Hill,York
1287,87,Forest Hill,York
1288,88,Forest Hill,York
1289,89,Forest Hill,York
1290,90,Forest Hill,York
1291,91,Forest Hill,York
1292,92,Forest Hill,York
1293,93,Forest Hill,York
1294,94,Forest Hill,York
1295,95,Forest Hill,York
1296,96,Forest Hill,York
1297,97,Forest Hill,York
1298,98,Forest Hill,York
1299,99,Forest Hill,York
1300,100,Forest Hill,York
1301,1,Forest Hill,Leeds
1302,2,Forest Hill,Leeds
1303,3,Forest Hill,Leeds
1304,4,Forest Hill,Leeds
1305,5,Forest Hill,Leeds
1306,6,Forest Hill,Leeds
1307,7,Forest Hill,Leeds
1308,8,Forest Hill,Leeds
1309,9,Forest Hill,Leeds
1310,10,Forest Hill,Leeds
1311,11,Forest Hill,Leeds
1312,12,Forest Hill,Leeds
1313,13,Forest Hill,Leeds
1314,14,Forest Hill,Leeds
1315,15,Forest Hill,Leeds
1316,16,Forest Hill,Leeds
1317,17,Forest Hill,Leeds
1318,18,Forest Hill,Leeds
1319,19,Forest Hill,Leeds
1320,20,Forest Hill,Leeds
1321,21,Forest Hill,Leeds
1322,22,Forest Hill,Leeds
1323,23,Forest Hill,Leeds
1324,24,Forest Hill,Leeds
1325,25,Forest Hill,Leeds
1326,26,Forest Hill,Leeds
1327,27,Forest Hill,Leeds
1328,28,Forest Hill,Leeds
1329,29,Forest Hill,Leeds
1330,30,Forest Hill,Leeds
1331,31,Forest Hill,Leeds
1332,32,Forest Hill,Leeds
1333,33,Forest Hill,Leeds
1334,34,Forest Hill,Leeds
1335,35,Forest Hill,Leeds
1336,36,Forest Hill,Leeds
1337,37,Forest Hill,Leeds
1338,38,Forest Hill,Leeds
1339,39,Forest Hill,Leeds
1340,40,Forest Hill,Leeds
1341,41,Forest Hill,Leeds
1342,42,Forest Hill,Leeds
1343,43,Forest Hill,Leeds
1344,44,Forest Hill,Leeds
1345,45,Forest Hill,Leeds
1346,46,Forest Hill,Leeds
1347,47,Forest Hill,Leeds
1348,48,Forest Hill,Leeds
1349,49,Forest Hill,Leeds
1350,50,Forest Hill,Leeds
1351,51,Forest Hill,Leeds
1352,52,Forest Hill,Leeds
1353,53,Forest Hill,Leeds
1354,54,Forest Hill,Leeds
1355,55,Forest Hill,Leeds
1356,56,Forest Hill,Leeds
1357,57,Forest Hill,Leeds
1358,58,Forest Hill,Leeds
1359,59,Forest Hill,Leeds
1360,60,Forest Hill,Leeds
1361,61,Forest Hill,Leeds
1362,62,Forest Hill,Leeds
1363,63,Forest Hill,Leeds
1364,64,Forest Hill,Leeds
1365,65,Forest Hill,Leeds
1366,66,Forest Hill,Leeds
1367,67,Forest Hill,Leeds
1368,68,Forest Hill,Leeds
1369,69,Forest Hill,Leeds
1370,70,Forest Hill,Leeds
1371,71,Forest Hill,Leeds
1372,72,Forest Hill,Leeds
1373,73,Forest Hill,Leeds
1374,74,Forest Hill,Leeds
1375,75,Forest Hill,Leeds
1376,76,Forest Hill,Leeds
1377,77,Forest Hill,Leeds
1378,78,Forest Hill,Leeds
1379,79,Forest Hill,Leeds
1380,80,Forest Hill,Leeds
1381,81,Forest Hill,Leeds
1382,82,Forest Hill,Leeds
1383,83,Forest Hill,Leeds
1384,84,Forest Hill,Leeds
1385,85,Forest Hill,Leeds
1386,86,Forest Hill,Leeds
1387,87,Forest Hill,Leeds
1388,88,Forest Hill,Leeds
1389,89,Forest Hill,Leeds
1390,90,Forest Hill,Leeds
1391,91,Forest Hill,Leeds
1392,92,Forest Hill,Leeds
1393,93,Forest Hill,Leeds
1394,94,Forest Hill,Leeds
1395,95,Forest Hill,Leeds
1396,96,Forest Hill,Leeds
1397,97,Forest Hill,Leeds
1398,98,Forest Hill,Leeds
1399,99,Forest Hill,Leeds
1400,100,Forest Hill,Leeds
1401,1,Forest Hill,Manchester
1402,2,Forest Hill,Manchester
1403,3,Forest Hill,Manchester
1404,4,Forest Hill,Manchester
1405,5,Forest Hill,Manchester
1406,6,Forest Hill,Manchester
1407,7,Forest Hill,Manchester
1408,8,Forest Hill,Manchester
1409,9,Forest Hill,Manchester
1410,10,Forest Hill,Manchester
1411,11,Forest Hill,Manchester
1412,12,Forest Hill,Manchester
1413,13,Forest Hill,Manchester
1414,14,Forest Hill,Manchester
1415,15,Forest Hill,Manchester
1416,16,Forest Hill,Manchester
1417,17,Forest Hill,Manchester
1418,18,Forest Hill,Manchester
1419,19,Forest Hill,Manchester
1420,20,Forest Hill,Manchester
1421,21,Forest Hill,Manchester
1422,22,Forest Hill,Manchester
1423,23,Forest Hill,Manchester
1424,24,Forest Hill,Manchester
1425,25,Forest Hill,Manchester
1426,26,Forest Hill,Manchester
1427,27,Forest Hill,Manchester
1428,28,Forest Hill,Manchester
1429,29,Forest Hill,Manchester
1430,30,Forest Hill,Manchester
1431,31,Forest Hill,Manchester
1432,32,Forest Hill,Manchester
1433,33,Forest Hill,Manchester
1434,34,Forest Hill,Manchester
1435,35,Forest Hill,Manchester
1436,36,Forest Hill,Manchester
1437,37,Forest Hill,Manchester
1438,38,Forest Hill,Manchester
1439,39,Forest Hill,Manchester
1440,40,Forest Hill,Manchester
1441,41,Forest Hill,Manchester
1442,42,Forest Hill,Manchester
1443,43,Forest Hill,Manchester
1444,44,Forest Hill,Manchester
1445,45,Forest Hill,Manchester
1446,46,Forest Hill,Manchester
1447,47,Forest Hill,Manchester
1448,48,Forest Hill,Manchester
1449,49,Forest Hill,Manchester
1450,50,Forest Hill,Manchester
1451,51,Forest Hill,Manchester
1452,52,Forest Hill,Manchester
1453,53,Forest Hill,Manchester
1454,54,Forest Hill,Manchester
1455,55,Forest Hill,Manchester
1456,56,Forest Hill,Manchester
1457,57,Forest Hill,Manchester
1458,58,Forest Hill,Manchester
1459,59,Forest Hill,Manchester
1460,60,Forest Hill,Manchester
1461,61,Forest Hill,Manchester
1462,62,Forest Hill,Manchester
1463,63,Forest Hill,Manchester
1464,64,Forest Hill,Manchester
1465,65,Forest Hill,Manchester
1466,66,Forest Hill,Manchester
1467,67,Forest Hill,Manchester
1468,68,Forest Hill,Manchester
1469,69,Forest Hill,Manchester
1470,70,Forest Hill,Manchester
1471,71,Forest Hill,Manchester
1472,72,Forest Hill,Manchester
1473,73,Forest Hill,Manchester
1474,74,Forest Hill,Manchester
1475,75,Forest Hill,Manchester
1476,76,Forest Hill,Manchester
1477,77,Forest Hill,Manchester
1478,78,Forest Hill,Manchester
1479,79,Forest Hill,Manchester
1480,80,Forest Hill,Manchester
1481,81,Forest Hill,Manchester
1482,82,Forest Hill,Manchester
1483,83,Forest Hill,Manchester
1484,84,Forest Hill,Manchester
1485,85,Forest Hill,Manchester
1486,86,Forest Hill,Manchester
1487,87,Forest Hill,Manchester
1488,88,Forest Hill,Manchester
1489,89,Forest Hill,Manchester
1490,90,Forest Hill,Manchester
1491,91,Forest Hill,Manchester
1492,92,Forest Hill,Manchester
1493,93,Forest Hill,Manchester
1494,94,Forest Hill,Manchester
1495,95,Forest Hill,Manchester
1496,96,Forest Hill,Manchester
1497,97,Forest Hill,Manchester
1498,98,Forest Hill,Manchester
1499,99,Forest Hill,Manchester
1500,100,Forest Hill,Manchester
1501,1,Orchard Close,London
1502,2,Orchard Close,London
1503,3,Orchard Close,London
1504,4,Orchard Close,London
1505,5,Orchard Close,London
1506,6,Orchard Close,London
1507,7,Orchard Close,London
1508,8,Orchard Close,London
1509,9,Orchard Close,London
1510,10,Orchard Close,London
1511,11,Orchard Close,London
1512,12,Orchard Close,London
1513,13,Orchard Close,London
1514,14,Orchard Close,London
1515,15,Orchard Close,London
1516,16,Orchard Close,London
1517,17,Orchard Close,London
1518,18,Orchard Close,London
1519,19,Orchard Close,London
1520,20,Orchard Close,London
1521,21,Orchard Close,London
1522,22,Orchard Close,London
1523,23,Orchard Close,London
1524,24,Orchard Close,London
1525,25,Orchard Close,London
1526,26,Orchard Close,London
1527,27,Orchard Close,London
1528,28,Orchard Close,London
1529,29,Orchard Close,London
1530,30,Orchard Close,London
1531,31,Orchard Close,London
1532,32,Orchard Close,London
1533,33,Orchard Close,London
1534,34,Orchard Close,London
1535,35,Orchard Close,London
1536,36,Orchard Close,London
1537,37,Orchard Close,London
1538,38,Orchard Close,London
1539,39,Orchard Close,London
1540,40,Orchard Close,London
1541,41,Orchard Close,London
1542,42,Orchard Close,London
1543,43,Orchard Close,London
1544,44,Orchard Close,London
1545,45,Orchard Close,London
1546,46,Orchard Close,London
1547,47,Orchard Close,London
1548,48,Orchard Close,London
1549,49,Orchard Close,London
1550,50,Orchard Close,London
1551,51,Orchard Close,London
1552,52,Orchard Close,London
1553,53,Orchard Close,London
1554,54,Orchard Close,London
1555,55,Orchard Close,London
1556,56,Orchard Close,London
1557,57,Orchard Close,London
1558,58,Orchard Close,London
1559,59,Orchard Close,London
1560,60,Orchard Close,London
1561,61,Orchard Close,London
1562,62,Orchard Close,London
1563,63,Orchard Close,London
1564,64,Orchard Close,London
1565,65,Orchard Close,London
1566,66,Orchard Close,London
1567,67,Orchard Close,London
1568,68,Orchard Close,London
1569,69,Orchard Close,London
1570,70,Orchard Close,London
1571,71,Orchard Close,London
1572,72,Orchard Close,London
1573,73,Orchard Close,London
1574,74,Orchard Close,London
1575,75,Orchard Close,London
1576,76,Orchard Close,London
1577,77,Orchard Close,London
1578,78,Orchard Close,London
1579,79,Orchard Close,London
1580,80,Orchard Close,London
1581,81,Orchard Close,London
1582,82,Orchard Close,London
1583,83,Orchard Close,London
1584,84,Orchard Close,London
1585,85,Orchard Close,London
1586,86,Orchard Close,London
1587,87,Orchard Close,London
1588,88,Orchard Close,London
1589,89,Orchard Close,London
1590,90,Orchard Close,London
1591,91,Orchard Close,London
1592,92,Orchard Close,London
1593,93,Orchard Close,London
1594,94,Orchard Close,London
1595,95,Orchard Close,London
1596,96,Orchard Close,London
1597,97,Orchard Close,London
1598,98,Orchard Close,London
1599,99,Orchard Close,London
1600,100,Orchard Close,London
1601,1,Orchard Close,Liverpool
1602,2,Orchard Close,Liverpool
1603,3,Orchard Close,Liverpool
1604,4,Orchard Close,Liverpool
1605,5,Orchard Close,Liverpool
1606,6,Orchard Close,Liverpool
1607,7,Orchard Close,Liverpool
1608,8,Orchard Close,Liverpool
1609,9,Orchard Close,Liverpool
1610,10,Orchard Close,Liverpool
1611,11,Orchard Close,Liverpool
1612,12,Orchard Close,Liverpool
1613,13,Orchard Close,Liverpool
1614,14,Orchard Close,Liverpool
1615,15,Orchard Close,Liverpool
1616,16,Orchard Close,Liverpool
1617,17,Orchard Close,Liverpool
1618,18,Orchard Close,Liverpool
1619,19,Orchard Close,Liverpool
1620,20,Orchard Close,Liverpool
1621,21,Orchard Close,Liverpool
1622,22,Orchard Close,Liverpool
1623,23,Orchard Close,Liverpool
1624,24,Orchard Close,Liverpool
1625,25,Orchard Close,Liverpool
1626,26,Orchard Close,Liverpool
1627,27,Orchard Close,Liverpool
1628,28,Orchard Close,Liverpool
1629,29,Orchard Close,Liverpool
1630,30,Orchard Close,Liverpool
1631,31,Orchard Close,Liverpool
1632,32,Orchard Close,Liverpool
1633,33,Orchard Close,Liverpool
1634,34,Orchard Close,Liverpool
1635,35,Orchard Close,Liverpool
1636,36,Orchard Close,Liverpool
1637,37,Orchard Close,Liverpool
1638,38,Orchard Close,Liverpool
1639,39,Orchard Close,Liverpool
1640,40,Orchard Close,Liverpool
1641,41,Orchard Close,Liverpool
1642,42,Orchard Close,Liverpool
1643,43,Orchard Close,Liverpool
1644,44,Orchard Close,Liverpool
1645,45,Orchard Close,Liverpool
1646,46,Orchard Close,Liverpool
1647,47,Orchard Close,Liverpool
1648,48,Orchard Close,Liverpool
1649,49,Orchard Close,Liverpool
1650,50,Orchard Close,Liverpool
1651,51,Orchard Close,Liverpool
1652,52,Orchard Close,Liverpool
1653,53,Orchard Close,Liverpool
1654,54,Orchard Close,Liverpool
1655,55,Orchard Close,Liverpool
1656,56,Orchard Close,Liverpool
1657,57,Orchard Close,Liverpool
1658,58,Orchard Close,Liverpool
1659,59,Orchard Close,Liverpool
1660,60,Orchard Close,Liverpool
1661,61,Orchard Close,Liverpool
1662,62,Orchard Close,Liverpool
1663,63,Orchard Close,Liverpool
1664,64,Orchard Close,Liverpool
1665,65,Orchard Close,Liverpool
1666,66,Orchard Close,Liverpool
1667,67,Orchard Close,Liverpool
1668,68,Orchard Close,Liverpool
1669,69,Orchard Close,Liverpool
1670,70,Orchard Close,Liverpool
1671,71,Orchard Close,Liverpool
1672,72,Orchard Close,Liverpool
1673,73,Orchard Close,Liverpool
1674,74,Orchard Close,Liverpool
1675,75,Orchard Close,Liverpool
1676,76,Orchard Close,Liverpool
1677,77,Orchard Close,Liverpool
1678,78,Orchard Close,Liverpool
1679,79,Orchard Close,Liverpool
1680,80,Orchard Close,Liverpool
1681,81,Orchard Close,Liverpool
1682,82,Orchard Close,Liverpool
1683,83,Orchard Close,Liverpool
1684,84,Orchard Close,Liverpool
1685,85,Orchard Close,Liverpool
1686,86,Orchard Close,Liverpool
1687,87,Orchard Close,Liverpool
1688,88,Orchard Close,Liverpool
1689,89,Orchard Close,Liverpool
1690,90,Orchard Close,Liverpool
1691,91,Orchard Close,Liverpool
1692,92,Orchard Close,Liverpool
1693,93,Orchard Close,Liverpool
1694,94,Orchard Close,Liverpool
1695,95,Orchard Close,Liverpool
1696,96,Orchard Close,Liverpool
1697,97,Orchard Close,Liverpool
1698,98,Orchard Close,Liverpool
1699,99,Orchard Close,Liverpool
1700,100,Orchard Close,Liverpool
1701,1,Orchard Close,York
1702,2,Orchard Close,York
1703,3,Orchard Close,York
1704,4,Orchard Close,York
1705,5,Orchard Close,York
1706,6,Orchard Close,York
1707,7,Orchard Close,York
1708,8,Orchard Close,York
1709,9,Orchard Close,York
1710,10,Orchard Close,York
1711,11,Orchard Close,York
1712,12,Orchard Close,York
1713,13,Orchard Close,York
1714,14,Orchard Close,York
1715,15,Orchard Close,York
1716,16,Orchard Close,York
1717,17,Orchard Close,York
1718,18,Orchard Close,York
1719,19,Orchard Close,York
1720,20,Orchard Close,York
1721,21,Orchard Close,York
1722,22,Orchard Close,York
1723,23,Orchard Close,York
1724,24,Orchard Close,York
1725,25,Orchard Close,York
1726,26,Orchard Close,York
1727,27,Orchard Close,York
1728,28,Orchard Close,York
1729,29,Orchard Close,York
1730,30,Orchard Close,York
1731,31,Orchard Close,York
1732,32,Orchard Close,York
1733,33,Orchard Close,York
1734,34,Orchard Close,York
1735,35,Orchard Close,York
1736,36,Orchard Close,York
1737,37,Orchard Close,York
1738,38,Orchard Close,York
1739,39,Orchard Close,York
1740,40,Orchard Close,York
1741,41,Orchard Close,York
1742,42,Orchard Close,York
1743,43,Orchard Close,York
1744,44,Orchard Close,York
1745,45,Orchard Close,York
1746,46,Orchard Close,York
1747,47,Orchard Close,York
1748,48,Orchard Close,York
1749,49,Orchard Close,York
1750,50,Orchard Close,York
1751,51,Orchard Close,York
1752,52,Orchard Close,York
1753,53,Orchard Close,York
1754,54,Orchard Close,York
1755,55,Orchard Close,York
1756,56,Orchard Close,York
1757,57,Orchard Close,York
1758,58,Orchard Close,York
1759,59,Orchard Close,York
1760,60,Orchard Close,York
1761,61,Orchard Close,York
1762,62,Orchard Close,York
1763,63,Orchard Close,York
1764,64,Orchard Close,York
1765,65,Orchard Close,York
1766,66,Orchard Close,York
1767,67,Orchard Close,York
1768,68,Orchard Close,York
1769,69,Orchard Close,York
1770,70,Orchard Close,York
1771,71,Orchard Close,York
1772,72,Orchard Close,York
1773,73,Orchard Close,York
1774,74,Orchard Close,York
1775,75,Orchard Close,York
1776,76,Orchard Close,York
1777,77,Orchard Close,York
1778,78,Orchard Close,York
1779,79,Orchard Close,York
1780,80,Orchard Close,York
1781,81,Orchard Close,York
1782,82,Orchard Close,York
1783,83,Orchard Close,York
1784,84,Orchard Close,York
1785,85,Orchard Close,York
1786,86,Orchard Close,York
1787,87,Orchard Close,York
1788,88,Orchard Close,York
1789,89,Orchard Close,York
1790,90,Orchard Close,York
